Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q242084,Lola Flores,"Spanish actor, singer and dancer",Female,Spain,Artist,1923,1995,natural causes,72
Q242095,Dino Buzzati,Italian writer (1906-1972),Male,Italy; Kingdom of Italy,Artist,1906,1972,natural causes,66
Q242162,Vonda N. McIntyre,science fiction writer from United States of America (1948-2019),Female,United States of America,Artist,1948,2019,natural causes,71
Q242219,Moana Pozzi,Italian pornographic actress,Female,Italy,Artist,1961,1994,natural causes,33
Q242373,Jane Greer,American film and television actress (1924–2001),Female,United States of America,Artist,1924,2001,natural causes,77
Q242387,Lily Pons,American opera singer and actress (1898-1976),Female,United States of America; France,Artist,1898,1976,natural causes,78
Q242416,Marion Davies,"American actress, producer, screenwriter and socialite (1897-1961)",Female,United States of America,Artist,1897,1961,natural causes,64
Q242460,Gladys George,American actress,Female,United States of America,Artist,1904,1954,natural causes,50
Q242462,Virginia Bruce,actress from the United States,Female,United States of America,Artist,1910,1982,natural causes,72
Q242477,Miriam Hopkins,American actress (1902-1972),Female,United States of America,Artist,1902,1972,natural causes,70
Q242482,Alexis Smith,Canadian actress (1921-1993),Female,Canada; United States of America,Artist,1921,1993,natural causes,72
Q242530,Catherine Lucile Moore,American author,Female,United States of America,Artist,1911,1987,natural causes,76
Q242609,André Masséna,French military commander during the Revolutionary and Napoleonic Wars (1758-1817),Male,France,Politician,1758,1817,natural causes,59
Q242688,John Hunyadi,"Regent-Governor of the Kingdom of Hungary, 1446–1453",Male,Kingdom of Hungary in the Middle Ages,Politician,1407,1456,natural causes,49
Q242729,Joan Blondell,American actress (1906-1979),Female,United States of America,Artist,1906,1979,natural causes,73
Q243005,Jean Peters,actress,Female,United States of America,Artist,1926,2000,natural causes,74
Q243267,Juliusz Słowacki,Polish poet,Male,Poland,Artist,1809,1849,natural causes,40
Q243536,Howard Temin,American geneticist,Male,United States of America,Researcher,1934,1994,natural causes,60
Q243623,Samak Sunthorawet,Thai politician (1935-2009),Male,Thailand,Politician,1935,2009,natural causes,74
Q243837,Ottorino Respighi,"Italian composer, musicologist and conductor",Male,Kingdom of Italy,Artist,1879,1936,natural causes,57
Q244206,Saud of Saudi Arabia,King of Saudi Arabia (1902-1969) (r. 1953-1964),Male,Saudi Arabia,Politician,1902,1969,natural causes,67
Q244383,Rose of Lima,Peruvian colonist and Dominican saint,Female,Peru,Christians jehovah’s witnesses,1586,1617,natural causes,31
Q244390,Ken Kesey,American novelist,Male,United States of America,Artist,1935,2001,natural causes,66
Q244407,Paul Kruger,South African politician and President of the South African Republic (1825-1904),Male,South African Republic,Politician,1825,1904,natural causes,79
Q244689,Lal Bahadur Shastri,Second Prime Minister of India (1904-1966),Male,India; British Raj,Politician,1904,1966,natural causes,62
Q245315,Liu Bei,Shu Han emperor (161-223),Male,Shu Han,Politician,161,223,natural causes,62
Q245335,Zygmunt Janiszewski,Polish mathematician,Male,Poland,Researcher,1888,1920,natural causes,32
Q245403,Zygmunt Zimowski,Polish bishop,Male,Poland,Religious figure,1949,2016,natural causes,67
Q245784,Bojan Pečar,Yugoslav and Serbian musician,Male,Serbia,Artist,1960,1998,natural causes,38
Q245905,Don Rhymer,American screenwriter,Male,United States of America,Artist,1961,2012,natural causes,51
Q246026,"Patrick Anson, 5th Earl of Lichfield",British photographer (1939-2005),Male,United Kingdom,Artist,1939,2005,natural causes,66
Q246041,Ann Christy,Belgian singer,Female,Belgium,Artist,1945,1984,natural causes,39
Q246303,Anthony Boucher,"Editor, novelist, short story writer",Male,United States of America,Artist,1911,1968,natural causes,57
Q246594,Hugh Masekela,South African jazz trumpeter,Male,South Africa,Artist,1939,2018,natural causes,79
Q246618,Shelly Manne,American jazz drummer,Male,United States of America,Artist,1920,1984,natural causes,64
Q246621,Takayuki Fujikawa,Japanese association football player,Male,Japan,Athlete,1962,2018,natural causes,56
Q246903,Enéas Carneiro,Brazilian politician (1938-2007),Male,Brazil,Politician,1938,2007,natural causes,69
Q247023,Robert Lansing,actor,Male,United States of America,Artist,1928,1994,natural causes,66
Q247603,Zénobe Gramme,Belgian electrical engineer,Male,Belgium,Researcher,1826,1901,natural causes,75
Q247816,Margaret Traxler,American Religious Sister and feminist,Female,United States of America,Teacher,1924,2002,natural causes,78
Q247873,William Bernard Barry,American politician (1902-1946),Male,United States of America,Politician,1902,1946,natural causes,44
Q248029,Jiro Horikoshi,Japanese engineer,Male,Japan,Engineer,1903,1982,natural causes,79
Q248037,Crawford Williamson Long,American physician,Male,United States of America,Physician,1815,1878,natural causes,63
Q248207,Rick James,"American singer, songwriter, dancer, bandleader and record producer dancer",Male,United States of America,Artist,1948,2004,natural causes,56
Q248837,Susan Hayward,American actress (1917-1975),Female,United States of America,Artist,1917,1975,natural causes,58
Q248867,James Blish,American author (1921-1975),Male,United States of America,Artist,1921,1975,natural causes,54
Q249802,Étienne Mourrut,French politician (1939-2014),Male,France,Politician,1939,2014,natural causes,75
Q249925,George Grizzard,American actor,Male,United States of America,Artist,1928,2007,natural causes,79
Q249987,Justin Hinds,Jamaican musician,Male,Jamaica,Artist,1942,2005,natural causes,63
Q250003,Jean-Baptiste Jourdan,Marshal of France (1762-1833),Male,France,Politician,1762,1833,natural causes,71
Q250040,Stephen F. Austin,"American empresario, founder of Texas, namesake of Austin, Texas (1793-1836)",Male,United States of America; Mexico; Republic of Texas,Politician,1793,1836,natural causes,43
Q250100,László Nagy,"Hungarian poet, translator",Male,People's Republic of Hungary,Artist,1925,1978,natural causes,53
Q250165,Sarojini Naidu,"Indian politician, governor of the United Provinces of Agra and Oudh from 1947 to 1949",Female,India; British Raj,Artist,1879,1949,natural causes,70
Q250208,Fernando Sánchez,Belgian fashion designer,Male,Spain,Fashion designer,1935,2006,natural causes,71
Q250293,Donald Judd,American minimalist artist,Male,United States of America,Artist,1928,1994,natural causes,66
Q250420,José Álvaro Morais,Portuguese filmmaker,Male,Portugal,Artist,1943,2004,natural causes,61
Q250608,Ali Hatami,Iranian film director,Male,Iran,Artist,1944,1996,natural causes,52
Q250754,Álvares de Azevedo,"Brazilian poet, essayist, short story writer and playwright",Male,Empire of Brazil,Artist,1831,1852,natural causes,21
Q250834,Álvaro Enrique Arzú Irigoyen,Guatemalan President (1946-2018),Male,Guatemala,Politician,1946,2018,natural causes,72
Q250876,Álvaro Corcuera,Mexican priest and Director of the Legion of Christ,Male,Mexico,Religious figure,1957,2014,natural causes,57
Q251262,James Massey,American information theorist and cryptologist,Male,United States of America,Researcher,1934,2013,natural causes,79
Q251287,Waylon Jennings,"American country music singer, songwriter, and musician (1937-2002)",Male,United States of America,Artist,1937,2002,natural causes,65
Q251303,June Mathis,"American screenwriter, producer and film studio executive",Female,United States of America,Artist,1887,1927,natural causes,40
Q251381,Augusto Daolio,Italian singer (1947-1992),Male,Italy,Artist,1947,1992,natural causes,45
Q251466,Francisco Fernández Ochoa,alpine skier,Male,Spain,Alpine skier,1950,2006,natural causes,56
Q251634,Nancy Kelly,actress,Female,United States of America,Artist,1921,1995,natural causes,74
Q251666,Henry A. Wallace,33rd vice president of the United States (1888-1965),Male,United States of America,Artist,1888,1965,natural causes,77
Q251721,Ángel Labruna,Argentine footballer,Male,Argentina,Athlete,1918,1983,natural causes,65
Q251729,Tamás Rényi,film director,Male,Hungary,Artist,1929,1980,natural causes,51
Q251977,Ángel Zubieta,argentine footballer (1918-1985),Male,Spain,Athlete,1918,1985,natural causes,67
Q252082,Merna Kennedy,actress,Female,United States of America,Artist,1908,1944,natural causes,36
Q252130,Kari Mannerla,Finnish board and card game designer,Male,Finland,Inventor; game author,1930,2006,natural causes,76
Q253090,Robert Urich,actor,Male,United States of America,Artist,1946,2002,natural causes,56
Q253192,Cynthia Lennon,former wife of John Lennon,Female,United Kingdom,Artist,1939,2015,natural causes,76
Q253282,Marie Dressler,Canadian-American actress,Female,Canada; United States of America,Artist,1868,1934,natural causes,66
Q253298,Judy Holliday,"American actress, comedian and singer",Female,United States of America,Artist,1921,1965,natural causes,44
Q253571,Berengaria of Portugal,Queen of Denmark,Female,Denmark,Aristocrat,1198,1221,natural causes,23
Q253596,Montserrat Figueras,Catalan soprano singer,Female,Spain,Artist,1942,2011,natural causes,69
Q253787,Aurelio Mosquera Narváez,President of Ecuador (1938 - 1939),Male,Colombia; Colombia,Politician,1883,1939,natural causes,56
Q253796,Archduchess Auguste Ferdinande of Austria,Princess of Bavaria (1825-1864),Female,Kingdom of Italy,Politician,1825,1864,natural causes,39
Q253916,Colleen Dewhurst,Canadian-American actress (1924-1991),Female,Canada; United States of America,Artist,1924,1991,natural causes,67
Q253934,Vera-Ellen,"actress, singer, dancer",Female,United States of America,Artist,1921,1981,natural causes,60
Q254068,Flora Tristan,French writer and suffragist (1803-1844),Female,Peru,Artist,1803,1844,natural causes,41
Q254110,Fernando Sor,Spanish classical guitarist and composer,Male,Spain,Artist,1778,1839,natural causes,61
Q254127,Emily Donelson,niece of U.S. President Andrew Jackson (1807-1836),Female,United States of America,Politician,1807,1836,natural causes,29
Q254322,Elizabeth of Bohemia,Czech queen,Female,NA,Politician,1292,1330,natural causes,38
Q254323,Christine Jorgensen,first American to become widely known for having sex reassignment surgery (1926-1989),Transgender Female,United States of America,Artist,1926,1989,natural causes,63
Q254333,György Cziffra,Hungarian-French virtuoso pianist and composer,Male,France,Artist,1921,1994,natural causes,73
Q254412,Julie Ege,Norwegian actress (1943-2008),Female,Norway,Artist,1943,2008,natural causes,65
Q254431,Alexis Arquette,"American actress, cabaret performer and activist",Transgender Female,United States of America,Artist,1969,2016,natural causes,47
Q254468,Herbert Biberman,American screenwriter and film director,Male,United States of America,Artist,1900,1971,natural causes,71
Q254545,Gunhilda of Denmark,"Danish princess, Queen consort of Germany",Female,North Sea Empire,Sovereign,1020,1038,natural causes,18
Q254553,Jack Chesbro,Major League Baseball pitcher,Male,United States of America,Athlete,1874,1931,natural causes,57
Q254605,Joe Farrell,American saxophonist,Male,United States of America,Artist,1937,1986,natural causes,49
Q254620,Katrin Cartlidge,English actress (1961-2002),Female,United Kingdom,Artist,1961,2002,natural causes,41
Q254654,Princess Leopoldina of Brazil,Brazilian princess (1847-1871),Female,Brazil,Politician,1847,1871,natural causes,24
Q254673,Ekaterina Svanidze,First wife of Josef Stalin,Female,Russian Empire,NA,1885,1907,natural causes,22
Q254781,Margaret Price,Welsh opera singer,Female,United Kingdom,Artist,1941,2011,natural causes,70
Q255184,"Lucy, Lady Duff-Gordon",British fashion designer,Female,United Kingdom,Costume designer; fashion designer,1863,1935,natural causes,72
Q255186,James Boyd,American professional boxer,Male,United States of America,Athlete,1930,1997,natural causes,67
Q255203,Juliet Anderson,American pornographic actress and director,Female,United States of America,Artist,1938,2010,natural causes,72
Q255253,Marie Bashkirtseff,French artist (1860-1884),Female,France; Russian Empire,Artist,1860,1884,natural causes,24
Q255310,Hannah Van Buren,American first lady,Female,United States of America,First lady,1783,1819,natural causes,36
Q255611,Rose Cleveland,First Lady of United States (1846-1918),Female,United States of America,Artist,1846,1918,natural causes,72
Q255620,Barbara Hutton,American philanthropist and socialite,Female,United States of America,Socialite,1912,1979,natural causes,67
Q255657,Loyola de Palacio,Spanish politician (1950-2006),Female,Spain,Politician,1950,2006,natural causes,56
Q255679,Princess Gina of Liechtenstein,Princess consort of Liechtenstein,Female,Austria; Liechtenstein,Consort,1921,1989,natural causes,68
Q255725,Maria Tănase,Romanian singer and actress,Female,Romania,Artist,1913,1963,natural causes,50
Q255769,Nita Naldi,American actress,Female,United States of America,Artist,1894,1961,natural causes,67
Q255786,Gracie Allen,American actress and comedienne (1895-1964),Female,United States of America,Artist,1895,1964,natural causes,69
Q255800,Susan Peters,actress (1921-1952),Female,United States of America,Artist,1921,1952,natural causes,31
Q255815,Tallulah Bankhead,American actress,Female,United States of America,Artist,1902,1968,natural causes,66
Q255846,Betty Compson,actress,Female,United States of America,Artist,1897,1974,natural causes,77
Q255934,Verna Felton,American character actress (1890-1966),Female,United States of America,Artist,1890,1966,natural causes,76
Q255967,Lena Nyman,Swedish actress (1944-2011),Female,Sweden,Artist,1944,2011,natural causes,67
Q256054,Lajos Bíró,"Hungarian novelist, playwright, and screenwriter",Male,United Kingdom; Austria-Hungary; United Kingdom of Great Britain and Ireland,Artist,1880,1948,natural causes,68
Q256117,Eleanor Powell,"Dancer, actress",Female,United States of America,Artist,1912,1982,natural causes,70
Q256147,André Jullien,French vintner,Male,France,Artist,1766,1832,natural causes,66
Q256166,Teresa of the Andes,Chilean nun of the Discalced Carmelite Order,Female,Chile,Nun; christians jehovah’s witnesses,1900,1920,natural causes,20
Q256268,Frank Robbins,Comic creator (1917-1994),Male,United States of America,Artist,1917,1994,natural causes,77
Q256274,Chen Ding-nan,Taiwanese politician (1943-2006),Male,Taiwan; Taiwan under Japanese rule; Republic of China (1912–1949),Politician,1943,2006,natural causes,63
Q256327,Wanda Wasilewska,Polish writer (1905-1964),Female,Poland; Soviet Union; Austria-Hungary; Second Polish Republic; People's Republic of Poland,Artist,1905,1964,natural causes,59
Q256370,Amparo Muñoz,Spanish actress who won the Miss Universe 1974 pageant,Female,Spain,Artist,1954,2011,natural causes,57
Q256893,Frances Shand Kydd,"Mother of Diana, Princess of Wales",Female,United Kingdom,Aristocrat,1936,2004,natural causes,68
Q257065,Nancy Marchand,American actress,Female,United States of America,Artist,1928,2000,natural causes,72
Q257107,James Steuart,Scottish economist,Male,Kingdom of Great Britain,Artist,1712,1780,natural causes,68
Q257113,Barry Flanagan,British sculptor,Male,Wales; United Kingdom,Artist,1941,2009,natural causes,68
Q257335,Darlene Conley,American actress,Female,United States of America,Artist,1934,2007,natural causes,73
Q257389,Mildred Bailey,American jazz singer,Female,United States of America,Artist,1907,1951,natural causes,44
Q257544,Sue Carol,"Actress, talent agent (1906-1982)",Female,United States of America,Artist,1906,1982,natural causes,76
Q257604,Princess Amelia of the United Kingdom,daughter of King George III of the United Kingdom,Female,United Kingdom,Aristocrat,1783,1810,natural causes,27
Q257805,Leith Stevens,American music composer and conductor of radio and film scores (1909-1970),Male,United States of America,Artist,1909,1970,natural causes,61
Q257935,Aminah,Mother of Prophet Muhammad,Female,NA,NA,549,577,natural causes,28
Q258001,Ouida,British novelist,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1839,1908,natural causes,69
Q258462,Eve Kosofsky Sedgwick,American scholar of queer theory,Female,United States of America,Artist,1950,2009,natural causes,59
Q258479,Annette Charles,American actress,Female,United States of America,Artist,1948,2011,natural causes,63
Q258639,Wilhelmina Cooper,"Model, modeling agent",Female,United States of America; Kingdom of the Netherlands,Model; model agent,1939,1980,natural causes,41
Q258704,Lajos Vajda,Hungarian painter (1908-1941),Male,Hungary,Artist,1908,1941,natural causes,33
Q258990,Lujza Blaha,Hungarian actress (1850-1926),Female,Hungary,Artist,1850,1926,natural causes,76
Q259151,Perry Lopez,American actor (1929-2008),Male,United States of America,Artist,1929,2008,natural causes,79
Q259152,Rocío Jurado,Spanish recording artist; singer and actress,Female,Spain,Artist,1944,2006,natural causes,62
Q259161,Aino Ackté,Finnish soprano,Female,Finland,Artist,1876,1944,natural causes,68
Q259176,Carin Göring,Swedish wife of Hermann Göring,Female,Sweden,NA,1888,1931,natural causes,43
Q259189,Tom Adams,Prime Minister of Barbados,Male,Barbados,Lawyer,1931,1985,natural causes,54
Q259446,Katy Jurado,Mexican actress (1924-2002),Female,Mexico,Artist,1924,2002,natural causes,78
Q259474,Kim Stanley,American actress,Female,United States of America,Artist,1925,2001,natural causes,76
Q259594,Lyubov Popova,Russian artist (1889-1924),Female,Soviet Union; Russian Empire,Artist,1889,1924,natural causes,35
Q259737,Madge Sinclair,actress from Jamaica (1938-1995),Female,United States of America,Artist,1938,1995,natural causes,57
Q259769,Kenneth Arthur Noel Anderson,British Army general,Male,United Kingdom,Military personnel,1891,1959,natural causes,68
Q259884,Origa,Russian singer,Female,Japan; Russia; Soviet Union,Artist,1970,2015,natural causes,45
Q259888,Kage Baker,American writer,Female,United States of America,Artist,1952,2010,natural causes,58
Q259921,Edith Sitwell,British poet,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1887,1964,natural causes,77
Q259947,Chiara Badano,Italian Blessed,Female,Italy,NA,1971,1990,natural causes,19
Q259956,Carol Shields,American/Canadian author,Female,Canada; United States of America,Artist,1935,2003,natural causes,68
Q260026,Nancy Mitford,British writer,Female,United Kingdom,Artist,1904,1973,natural causes,69
Q260046,Elizabeth of the Trinity,French Carmelite nun and mystic,Female,France,Nun; pianist,1880,1906,natural causes,26
Q260128,"María Teresa de Silva, 13th Duchess of Alba",Spanish aristocrat,Female,Spain,Salonnière; model,1762,1802,natural causes,40
Q260227,Yelena Shushunova,Russian gymnast,Female,Russia; Soviet Union,Artist,1969,2018,natural causes,49
Q260312,Dorothy Gibson,"silent film actress, singer, model (1889-1946)",Female,United States of America,Artist,1889,1946,natural causes,57
Q260448,"Princess Louise Hippolyte I, Princess of Monaco",Princess regnant of Monaco and Monegasque princess (1697-1731),Female,Republic of Genova,Politician,1697,1731,natural causes,34
Q260497,Marie Anne de Bourbon,daughter of King of France,Female,France,Aristocrat,1666,1739,natural causes,73
Q260610,Maria Agata Szymanowska,Polish woman composer,Female,Russian Empire,Artist,1789,1831,natural causes,42
Q260629,Shaukat Hussein Mazari,Pakistani politician (1948-2008),Male,Pakistan,Politician,1948,2008,natural causes,60
Q260670,Dion Fortune,British occultist and author,Female,United Kingdom,Artist,1890,1946,natural causes,56
Q260774,Leo Stein,American art collector and critic,Male,United States of America,Journalist,1872,1947,natural causes,75
Q260879,John Howard Griffin,American journalist & race activist,Male,United States of America,Artist,1920,1980,natural causes,60
Q260918,Tammi Terrell,American singer–songwriter,Female,United States of America,Artist,1945,1970,natural causes,25
Q260926,Anna of Brandenburg,Duchess of Schleswig and Holstein,Female,Denmark,Aristocrat,1487,1514,natural causes,27
Q261003,Kay Hagan,American politician (1953-2019),Female,United States of America,Politician,1953,2019,natural causes,66
Q261133,Norma Talmadge,American actress and film producer (1894-1957),Female,United States of America,Artist,1894,1957,natural causes,63
Q261139,Marie Duplessis,19th-century French courtesan,Female,France,Courtesan,1824,1847,natural causes,23
Q261329,Lia Manoliu,Romanian athletics competitor (1932-1998),Female,Romania,Athlete,1932,1998,natural causes,66
Q261410,Princess Maria Carolina of Bourbon-Two Sicilies,(1822-1869),Female,France,Aristocrat,1822,1869,natural causes,47
Q261419,Archduchess Barbara of Austria,Austrian archduchess,Female,Austria,Aristocrat,1539,1572,natural causes,33
Q261456,Delphine Seyrig,French actress and film director,Female,France,Artist,1932,1990,natural causes,58
Q261465,Sue Townsend,English writer and humorist,Female,United Kingdom,Artist,1946,2014,natural causes,68
Q261522,Mikheil Kalatozishvili,"Soviet and Russian film director, actor and screenwriter",Male,Russia; Soviet Union,Artist,1959,2009,natural causes,50
Q261871,Clarice Orsini,wife of Lorenzo de' Medici,Female,NA,Aristocrat,1453,1488,natural causes,35
Q261915,Lucrezia de' Medici,Duchess of Ferrara,Female,NA,Aristocrat,1545,1561,natural causes,16
Q261948,Lillian Board,British middle-distance runner,Female,United Kingdom,Middle-distance runner,1948,1970,natural causes,22
Q261957,Stuart Bell,British politician (1938-2012),Male,United Kingdom,Politician,1938,2012,natural causes,74
Q261965,Nikolai Yudenich,Russian general (1862-1933),Male,Russian Empire,Politician,1862,1933,natural causes,71
Q261997,William Cameron Menzies,American film production designer and art director,Male,United States of America,Artist,1896,1957,natural causes,61
Q262098,Vladimir Borovikovsky,Russian artist (1757-1825),Male,Russian Empire,Artist,1757,1825,natural causes,68
Q262102,Debra Hill,American film producer (1950-2005),Female,United States of America,Artist,1950,2005,natural causes,55
Q262254,Hendrik Laurenszoon Spiegel,Dutch writer,Male,Netherlands,Researcher,1549,1612,natural causes,63
Q262267,Elizabeth Peña,American actress and director (1959-2014),Female,United States of America,Artist,1959,2014,natural causes,55
Q262389,Alberta Watson,Canadian actress (1955-2015),Female,Canada,Artist,1955,2015,natural causes,60
Q262727,Mo Mowlam,British politician (1949-2005),Female,United Kingdom,Politician,1949,2005,natural causes,56
Q262820,John Frankenheimer,American film and television director,Male,United States of America,Artist,1930,2002,natural causes,72
Q262861,Danny Blanchflower,Northern Irish footballer (1926-1993),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Athlete,1926,1993,natural causes,67
Q262880,Blaise de Vigenère,French cryptographer,Male,France,Researcher,1523,1596,natural causes,73
Q263046,May-Louise Flodin,Swedish beauty pageant contestant,Female,Sweden,Model; beauty pageant contestant,1934,2011,natural causes,77
Q263104,Kinuyo Tanaka,Japanese actress and film director,Female,Japan,Artist,1909,1977,natural causes,68
Q263201,Monique Wittig,French writer,Female,France,Artist,1935,2003,natural causes,68
Q263405,Angelica Catalani,Italian opera singer,Female,NA,Artist,1780,1849,natural causes,69
Q263408,Gaetano Bedini,Catholic cardinal,Male,Kingdom of Italy,Politician,1806,1864,natural causes,58
Q263448,Christl Haas,Austrian alpine skier,Female,Austria,Alpine skier,1943,2001,natural causes,58
Q263543,Hanan Porat,Israeli rabbi and educator (1943-2011),Male,Israel,Politician,1943,2011,natural causes,68
Q263575,Jane Digby,British aristocrat,Female,United Kingdom of Great Britain and Ireland,Aristocrat,1807,1881,natural causes,74
Q263629,Maria Cebotari,singer and actress,Female,Moldova,Artist,1910,1949,natural causes,39
Q263665,Gaston Rébuffat,French mountaineer,Male,France,Artist,1921,1985,natural causes,64
Q263732,Ko Yong-hui,mother of Kim Jong-un (1952-2004),Female,Japan; North Korea,Artist,1952,2004,natural causes,52
Q263861,Princess Anna of Hesse and by Rhine,"consort and second wife of Friedrich Franz II, Grand Duke of Mecklenburg-Schwerin",Female,Germany,Politician,1842,1865,natural causes,23
Q264252,Miriam Defensor Santiago,Filipina politician and author,Female,Philippines,Politician,1945,2016,natural causes,71
Q264253,Bohdan Stupka,Ukrainian actor (1941-2012),Male,Ukraine; Soviet Union,Artist,1941,2012,natural causes,71
Q264453,Nadežda Petrović,Serbian artist (1873-1915),Female,Kingdom of Serbia; Principality of Serbia,Artist,1873,1915,natural causes,42
Q264516,Abdul Razak Hussein,Prime Minister of Malaysia (1922-1976),Male,Malaysia,Politician,1922,1976,natural causes,54
Q264603,Marcia Wallace,American actress and comedian (1942-2013) (aged 70),Female,United States of America,Artist,1942,2013,natural causes,71
Q264707,B. Reeves Eason,"American film director, actor (1886-1956)",Male,United States of America,Artist,1886,1956,natural causes,70
Q264740,Jade Goody,English reality television personality,Female,United Kingdom,Artist,1981,2009,natural causes,28
Q264761,Malcolm Wicks,British politician (1947-2012),Male,United Kingdom,Politician,1947,2012,natural causes,65
Q264783,Edith González,Mexican actress and dancer (1964-2019),Female,Mexico,Artist,1964,2019,natural causes,55
Q264836,Alfonso IV of León,King of León,Male,Kingdom of León,Politician,899,933,natural causes,34
Q264921,Allan Edwall,"actor, film director (1924-1997)",Male,Sweden,Artist,1924,1997,natural causes,73
Q264986,Alberto Bonucci,"actor, Film director",Male,Italy; Kingdom of Italy,Artist,1918,1969,natural causes,51
Q265021,Anne Shirley,American actress (1918-1993),Female,United States of America,Artist,1918,1993,natural causes,75
Q265055,Daniel Prodan,Romanian footballer (1972-2016),Male,Romania,Athlete,1972,2016,natural causes,44
Q265131,Lee Miller,U.S. American photographer and photojournalist (1907-1977),Female,United States of America,Artist,1907,1977,natural causes,70
Q265202,Sandy West,"American rock musician, former member of The Runaways",Female,United States of America,Artist,1959,2006,natural causes,47
Q265270,Joanna Russ,American author (1937-2011),Female,United States of America,Artist,1937,2011,natural causes,74
Q265358,Constance Bennett,American actress,Female,United States of America,Artist,1904,1965,natural causes,61
Q265460,"Margaret of Bohemia, Queen of Hungary",Queen Consort of Hungary,Female,NA,Politician,1335,1349,natural causes,14
Q265531,Betty Field,American actress,Female,United States of America,Artist,1916,1973,natural causes,57
Q265610,Zhanna Prokhorenko,Soviet and Russian actress,Female,Russia; Soviet Union,Artist,1940,2011,natural causes,71
Q265668,Edward Zorinsky,American senator (1928-1987),Male,United States of America,Politician,1928,1987,natural causes,59
Q265706,Susan Strasberg,American film and stage actress (1938-1999),Female,United States of America,Artist,1938,1999,natural causes,61
Q265841,Amy Lowell,US writer,Female,United States of America,Artist,1874,1925,natural causes,51
Q265848,Edward Cronjager,American cinematographer,Male,United States of America,Cinematographer,1904,1960,natural causes,56
Q265959,Solomon Dodashvili,Georgian philosopher,Male,Russian Empire,Teacher,1805,1836,natural causes,31
Q266205,Margery Allingham,"English writer of detective fiction, editor",Female,United Kingdom,Artist,1904,1966,natural causes,62
Q266359,Nikolay Rukavishnikov,Soviet cosmonaut,Male,Soviet Union,Researcher,1932,2002,natural causes,70
Q266425,Carrie Snodgress,American actress (1945-2004),Female,United States of America,Artist,1945,2004,natural causes,59
Q266544,Chuck Schuldiner,American guitarist and singer,Male,United States of America,Artist,1967,2001,natural causes,34
Q266628,Yves Rocher,French businessman (1930-2009),Male,France,Politician,1930,2009,natural causes,79
Q266684,György Ekrem-Kemál,Hungarian politician (1946-2009),Male,Hungary,Politician,1946,2009,natural causes,63
Q266808,Gilda Radner,American comedian and actress,Female,United States of America,Artist,1946,1989,natural causes,43
Q267079,Larry Corcoran,American baseball player,Male,United States of America,Athlete,1859,1891,natural causes,32
Q267081,Steve Rubell,"American entrepreneur, founder of Studio 54",Male,United States of America,Entrepreneur,1943,1989,natural causes,46
Q267186,Gypsy Rose Lee,"American burlesque performer, actress and author",Female,United States of America,Artist,1911,1970,natural causes,59
Q267217,Viveca Lindfors,actress and director (1920–1995),Female,United States of America; Sweden,Artist,1920,1995,natural causes,75
Q267303,Lena Rice,Irish tennis player,Female,United Kingdom of Great Britain and Ireland,Athlete,1866,1907,natural causes,41
Q267430,Susan Sutherland Isaacs,Lancashire-born educational psychologist and psychoanalyst,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Psychologist; psychoanalyst,1885,1948,natural causes,63
Q267441,Ben Hecht,"American screenwriter, director, producer, playwright, journalist and novelist",Male,United States of America,Artist,1894,1964,natural causes,70
Q267549,Okita Sōji,Japanese swordsman,Male,Japan,Samurai,1842,1868,natural causes,26
Q267597,Dee Dee Warwick,American soul singer,Female,United States of America,Artist,1945,2008,natural causes,63
Q267605,Herman Kahn,American futurist,Male,United States of America,Researcher,1922,1983,natural causes,61
Q267670,Simona Senoner,Italian ski jumper,Female,Italy,Athlete,1993,2011,natural causes,18
Q267836,Nancy Carroll,American actress,Female,United States of America,Artist,1903,1965,natural causes,62
Q267985,Rachel,French actress,Female,France,Artist,1821,1858,natural causes,37
Q268003,Edvard Kardelj,Yugoslav politician (1910-1979),Male,"Austria-Hungary; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; State of Slovenes, Croats and Serbs; Democratic Federal Yugoslavia; Federal People's Republic of Yugoslavia; Kingdom of Serbs, Croats and Slovenes",Artist,1910,1979,natural causes,69
Q268079,Blanche Calloway,"American singer, bandleader and composer",Female,United States of America,Artist,1902,1978,natural causes,76
Q268110,Kay Francis,actress (1905-1968),Female,United States of America,Artist,1905,1968,natural causes,63
Q268111,Evgeny Shvarts,Russian writer,Male,Soviet Union; Russian Empire,Artist,1896,1958,natural causes,62
Q268118,Kelly Johnson,Rock musician,Female,United Kingdom,Artist,1958,2007,natural causes,49
Q268147,Mary McCarthy,American writer,Female,United States of America,Artist,1912,1989,natural causes,77
Q268290,David S. Kaufman,U.S. Representative from Texas (1813-1851),Male,United States of America,Politician,1813,1851,natural causes,38
Q268427,Shirley Walker,American composer,Female,United States of America,Artist,1945,2006,natural causes,61
Q268537,Fabio Calzavara,Italian politician (1950-2019),Male,Italy,Politician,1950,2019,natural causes,69
Q268680,Janusz Zajdel,"Science fiction writer, physicist",Male,Poland,Researcher,1938,1985,natural causes,47
